Book-Title,Question,Option1,Option2,Option3,Option4,Answer
Classical Mythology,Who is the Greek god of the sky and thunder?,Apollo,Zeus,Hades,Poseidon,Zeus
Clara Callan,Who is the author of Clara Callan?,Richard Ford,Joyce Carol Oates,Margaret Atwood,Michael Ondaatje,Richard Ford
Decision in Normandy,Who was the Supreme Allied Commander in Europe during WWII?,Dwight D. Eisenhower,George S. Patton,Douglas MacArthur,Chester W. Nimitz,Dwight D. Eisenhower
Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,When did the 1918 influenza pandemic occur?,1915-1917,1918-1920,1921-1923,1924-1926,1918-1920
The Mummies of Urumchi,Where is Urumchi?,China,Japan,Korea,Thailand,China
The Kitchen God's Wife,Who is the author of The Kitchen God's Wife?,Amy Tan,Maxine Hong Kingston,Jhumpa Lahiri,Arundhati Roy,Amy Tan
What If?: The World's Foremost Military Historians Imagine What Might Have Been,Who wrote What If?: The World's Foremost Military Historians Imagine What Might Have Been?,Stephen E. Ambrose,John Keegan,Niall Ferguson,Robert Cowley,Robert Cowley
PLEADING GUILTY,Who is the author of PLEADING GUILTY?,John Grisham,Tom Clancy,Michael Crichton,Dan Brown,Scott Turow
Under the Black Flag: The Romance and the Reality of Life Among the Pirates,Who is the author of Under the Black Flag: The Romance and the Reality of Life Among the Pirates?,Marcus Rediker,Peter Linebaugh,David Cordingly,Colin Woodard,David Cordingly
Where You'll Find Me: And Other Stories,Who is the author of Where You'll Find Me: And Other Stories?,Ann Beattie,Alice Munro,Margaret Atwood,Joyce Carol Oates,Ann Beattie
Nights Below Station Street,Who is the author of Nights Below Station Street?,Mordecai Richler,Robertson Davies,Margaret Atwood,Michael Ondaatje,Mordecai Richler
The Handmaid's Tale,Who is the author of the novel?,Margaret Atwood,J.K. Rowling,Sylvia Plath,Virginia Woolf,Margaret Atwood
Animal Farm,Who is the pig that becomes the dictator of the farm?,Old Major,Snowball,Boxer,Napoleon,Napoleon
Frankenstein,What is the name of the scientist who creates the monster?,Victor Frankenstein,Robert Walton,Henry Clerval,Elizabeth Lavenza,Victor Frankenstein
The Sun Also Rises,Who is the author of the novel?,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,William Faulkner,Ernest Hemingway
The Joy Luck Club,Who is the author of the novel?,Amy Tan,Jhumpa Lahiri,Arundhati Roy,Chimamanda Ngozi Adichie,Amy Tan
Brave New World,Who is the author of the novel?,Aldous Huxley,George Orwell,Ray Bradbury,Philip K. Dick,Aldous Huxley
Charlotte's Web,What is the name of the spider in the novel?,Wilbur,Fern,Templeton,Charlotte,Charlotte
The Secret Garden,Who is the author of the novel?,Frances Hodgson Burnett,Louisa May Alcott,Jane Austen,Charlotte Bronte,Frances Hodgson Burnett
The Old Man and the Sea,Who is the author of the novel?,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,William Faulkner,Ernest Hemingway
The Strange Case of Dr. Jekyll and Mr. Hyde,What is the name of the doctor who creates a potion that turns him into a monster?,Dr. Henry Jekyll,Dr. John Watson,Dr. Victor Frankenstein,Dr. Faustus,Dr. Henry Jekyll
The Handmaid's Tale,Who is the author of the novel?,Margaret Atwood,J.K. Rowling,Sylvia Plath,Virginia Woolf,Margaret Atwood
Animal Farm,Who is the pig that becomes the dictator of the farm?,Old Major,Snowball,Boxer,Napoleon,Napoleon
Frankenstein,What is the name of the scientist who creates the monster?,Victor Frankenstein,Robert Walton,Henry Clerval,Elizabeth Lavenza,Victor Frankenstein
The Sun Also Rises,Who is the author of the novel?,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,William Faulkner,Ernest Hemingway
The Joy Luck Club,Who is the author of the novel?,Amy Tan,Jhumpa Lahiri,Arundhati Roy,Chimamanda Ngozi Adichie,Amy Tan
Brave New World,Who is the author of the novel?,Aldous Huxley,George Orwell,Ray Bradbury,Philip K. Dick,Aldous Huxley
Charlotte's Web,What is the name of the spider in the novel?,Wilbur,Fern,Templeton,Charlotte,Charlotte
The Secret Garden,Who is the author of the novel?,Frances Hodgson Burnett,Louisa May Alcott,Jane Austen,Charlotte Bronte,Frances Hodgson Burnett
The Old Man and the Sea,Who is the author of the novel?,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,William Faulkner,Ernest Hemingway
The Strange Case of Dr. Jekyll and Mr. Hyde,What is the name of the doctor who creates a potion that turns him into a monster?,Dr. Henry Jekyll,Dr. John Watson,Dr. Victor Frankenstein,Dr. Faustus,Dr. Henry Jekyll
The Adventures of Sherlock Holmes,Who is Sherlock Holmes' sidekick in the novel?,John Watson,Mycroft Holmes,Irene Adler,James Moriarty,John Watson
The Call of the Wild,What type of animal is the protagonist of the novel?,Horse,Dog,Wolf,Bear,Dog
The Canterbury Tales,Who is the author of the collection of stories?,Geoffrey Chaucer,William Shakespeare,John Milton,Christopher Marlowe,Geoffrey Chaucer
The Grapes of Wrath,Who is the author of the novel?,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,William Faulkner,John Steinbeck
The Hound of the Baskervilles,What type of animal is the titular hound?,Dog,Wolf,Bear,Panther,Dog
Robinson Crusoe,What is the name of the protagonist in the novel?,Robinson Crusoe,Friday,Man Friday,Jim Hawkins,Robinson Crusoe
Tess of the d'Urbervilles,Who is the author of the novel?,Charles Dickens,Thomas Hardy,George Eliot,Jane Austen,Thomas Hardy
Treasure Island,What is the name of the pirate who is the primary antagonist of the novel?,Blackbeard,Captain Kidd,Long John Silver,Calico Jack,Long John Silver
Ulysses,Who is the author of the novel?,James Joyce,Virginia Woolf,T.S. Eliot,W.B. Yeats,James Joyce
Watership Down,What type of animal is the protagonist of the novel?,Horse,Dog,Rabbit,Wolf,Rabbit
To Kill a Mockingbird,What is the name of the protagonist in the novel?,Atticus Finch,Jem Finch,Scout Finch,Boo Radley,Scout Finch
Pride and Prejudice,Who is the protagonist of the novel?,Elizabeth Bennet,Mr. Darcy,Jane Bennet,Mrs. Bennet,Elizabeth Bennet
The Great Gatsby,What is the name of the narrator of the novel?,Jay Gatsby,Tom Buchanan,Daisy Buchanan,Nick Carraway,Nick Carraway
1984,What is the name of the main character in the novel?,Winston Smith,Julia,Big Brother,Emmanuel Goldstein,Winston Smith
The Catcher in the Rye,What is the name of the protagonist in the novel?,Holden Caulfield,Jane Gallagher,Allie Caulfield,Phoebe Caulfield,Holden Caulfield
To the Lighthouse,What is the name of the author of the novel?,Virginia Woolf,Jane Austen,Charlotte Bronte,Emily Bronte,Virginia Woolf
The Picture of Dorian Gray,Who is the author of the novel?,Oscar Wilde,Ernest Hemingway,F. Scott Fitzgerald,James Joyce,Oscar Wilde
Moby-Dick,What is the name of the captain of the ship in the novel?,Ahab,Starbuck,Queequeg,Ishmael,Ahab
Frankenstein,Who is the creator of the monster in the novel?,Victor Frankenstein,Robert Walton,Henry Clerval,Elizabeth Lavenza,Victor Frankenstein
The Adventures of Huckleberry Finn,Who is the best friend of the protagonist in the novel?,Tom Sawyer,Jim,Pap Finn,Widow Douglas,Jim
